onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.012739116	5	2	1	4.53	49	18.05	97
32.017806787	5	1	1	12.44	77	4.5	21
43.024913857	5	2	1	11.1	42	14.51	154
54.031170516	5	1	1	30.61	112	28.46	20
67.035860034	5	2	1	6	99	30.92	112
80.038759007	5	1	1	17.14	179	6.21	97
93.044277822	5	1	1	26.43	169	23.71	27
106.050806369	5	2	1	8.57	90	13.8	136
121.057395354	5	2	1	33.33	11	37.35	34
136.062936743	5	2	1	0.67	92	1.71	148
147.068905039	5	2	1	0.86	164	26.83	175
162.072298727	5	2	1	24.89	26	37.85	85
175.077356689	5	1	1	29.58	11	29.69	178
186.081899289	5	2	1	5.96	33	12.01	152
197.084583714	5	1	1	18.04	92	15.74	86
218.092829937	5	2	0	6	99	30.92	112
229.099232382	5	2	0	1.13	74	34.5	126
242.102813293	5	1	0	20.9	54	21.82	157
257.108833599	5	2	0	39.08	147	38.92	86
268.115646762	5	1	0	37.5	176	31.56	96
283.12011688	5	2	0	24.89	26	37.85	85
298.123276055	5	2	0	24.54	15	26.97	17
311.12865282	5	2	0	16.54	174	12.43	93
322.132706535	5	1	0	39.36	133	32.51	106
333.138143724	5	2	0	11.92	4	20.11	171
346.142263437	5	2	0	19.41	126	28.69	162
361.146439194	5	1	0	18.14	23	18.77	165
376.152441834	5	1	0	35.1	69	24.16	0
387.155253718	5	2	0	5.96	33	12.01	152
400.159903932	5	1	0	32.75	37	35.72	83
