onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007117284	5	2	1	15.65	4	31.96	119
28.012929786	5	2	1	3.58	36	13.23	135
39.018452226	5	2	1	16.22	88	25.33	119
52.023393851	5	1	1	20.03	55	13.5	3
67.030288681	5	2	1	15.94	10	39.26	140
78.035811256	5	1	1	29.76	165	28.99	13
91.041139609	5	2	1	23.28	43	25.43	87
104.046379314	5	2	1	33.67	72	34.97	162
115.051626216	5	2	1	14.48	6	21.83	165
130.05496896	5	2	1	8.95	109	12.65	118
143.063685476	5	2	1	31.71	23	34.57	27
158.070788539	5	1	1	14.9	152	8.05	116
173.075754161	5	1	1	24.21	112	23.95	31
184.081856586	5	2	1	4.66	80	23.53	109
199.087596055	5	2	1	34.58	156	34.13	12
218.094581706	5	2	0	23.28	43	25.43	87
231.097320501	5	2	0	30.61	112	28.46	20
244.099220129	5	1	0	14.63	150	6.88	7
259.10341676	5	2	0	3.58	36	13.23	135
272.1105729	5	1	0	13.05	161	10.71	28
287.116613871	5	2	0	29.49	173	27.8	25
302.122325689	5	2	0	28.83	137	27.47	14
313.125812927	5	2	0	28.9	43	27.01	17
328.129840978	5	2	0	23.54	60	25.75	77
341.132724323	5	2	0	12.58	38	32.67	170
352.135690158	5	2	0	12.02	19	25.79	172
367.141970581	5	1	0	15.8	71	12.15	42
378.146520067	5	2	0	9.06	64	22.68	166
389.150771716	5	1	0	12.44	47	2.86	32
400.153757962	5	1	0	33.67	72	34.97	162
