onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.010175783	5	1	0	33.89	162	23.13	106
32.017164361	5	2	0	34.14	116	33.56	42
43.01927681	5	1	0	39.97	121	21.24	22
56.022467093	5	1	0	37.1	161	31.93	139
71.0264042	5	2	0	21.57	1	38.18	77
82.032817467	5	1	0	20.03	55	13.5	3
95.037264424	5	1	0	39.19	152	31.82	128
106.041628434	5	1	0	11.1	42	14.51	154
119.04610699	5	2	0	33	14	35.91	15
132.050665671	5	2	0	15.94	10	39.26	140
147.054760013	5	1	0	37.72	145	32.56	65
158.059186168	5	2	0	22.13	89	26.29	135
173.065887392	5	1	0	33.47	143	25.7	52
188.070577046	5	1	0	23.2	149	21.75	11
201.073137497	5	2	0	32.24	167	30.22	1
218.08276103	5	2	1	23.35	12	31.43	78
233.087551207	5	2	1	17.88	35	25.32	114
246.091611335	5	1	1	23.66	174	19.99	138
261.095683555	5	1	1	34.42	118	24.72	54
272.101206489	5	1	1	37.1	161	31.93	139
283.107489691	5	1	1	4.89	93	0.69	63
296.112540422	5	1	1	32.24	167	30.22	1
311.117729412	5	2	1	33.93	41	37.12	154
322.122742704	5	1	1	39.36	133	32.51	106
333.124689912	5	1	1	39.08	147	38.92	86
346.130038464	5	2	1	13.21	20	16.36	144
357.134090835	5	2	1	25.21	60	25.24	61
370.141758074	5	2	1	23.54	60	25.75	77
383.149161724	5	2	1	10.6	3	28.22	127
398.154358128	5	1	1	16.84	92	11.6	10
