onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005441253	5	2	1	11.07	134	10.44	34
28.009466664	5	2	1	12.51	43	27.32	70
43.013742435	5	2	1	9.52	104	21.23	177
56.019115634	5	2	1	26.83	178	25.81	47
71.022755433	5	1	1	24.46	59	26.94	83
84.02637743	5	1	1	12.03	30	4.35	25
99.033588824	5	2	1	23.93	137	13.31	87
112.037616684	5	1	1	23.85	84	31.67	159
123.043364734	5	1	1	11.58	84	6.04	7
134.048488855	5	2	1	27.61	178	27.41	77
149.056373672	5	2	1	10.81	114	19.33	150
160.058597174	5	2	1	25.65	43	38.77	51
173.062734551	5	2	1	28.22	25	23.93	4
188.065586228	5	1	1	13.65	80	29.32	122
201.068746151	5	2	1	25.98	42	24.81	10
218.071710483	5	1	0	11.63	30	3.1	11
231.0755309	5	2	0	13.65	80	29.32	122
242.078603583	5	1	0	24.73	89	18.22	38
257.082805739	5	1	0	24.32	109	1.47	0
268.087403241	5	1	0	30.31	111	11.89	73
279.092366075	5	1	0	28.99	92	21.56	20
294.098334375	5	2	0	16.9	28	26.24	170
309.102549512	5	2	0	22.16	98	31.49	122
322.108055565	5	1	0	37.33	162	14.56	110
335.111724106	5	1	0	17.22	169	1.34	153
348.11800997	5	1	0	12.99	137	3.59	47
363.120080082	5	2	0	22.79	161	22.36	94
374.126459589	5	2	0	27.96	55	29.55	153
389.129936058	5	1	0	10.27	151	6.14	26
402.133451657	5	2	0	11.07	134	10.44	34
