onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.008953523	5	1	1	30.12	148	2.84	3
30.013402541	5	1	1	20.76	114	7.69	58
41.01636684	5	1	1	13.19	3	17.47	179
56.021077237	5	1	1	16.9	28	26.24	170
71.025022816	5	2	1	37.13	56	33.51	1
84.029236732	5	1	1	24.32	109	1.47	0
97.032821919	5	2	1	32.06	148	12.13	22
108.036938917	5	2	1	22.99	110	34.99	111
119.041199001	5	1	1	13.61	13	15.9	140
132.044759621	5	2	1	37.33	162	14.56	110
147.051184063	5	2	1	16.88	88	37.34	91
162.057192084	5	2	1	39.45	122	34.76	20
175.061971439	5	2	1	25.29	99	11.4	52
186.067780847	5	2	1	8.8	9	24.71	103
201.073202663	5	1	1	23.21	111	7.2	15
218.081233817	5	1	0	20.76	114	7.69	58
229.0866303	5	1	0	11.58	84	6.04	7
244.094767678	5	1	0	37.13	56	33.51	1
255.098937858	5	1	0	20.2	28	20.54	158
270.10136196	5	1	0	25.29	99	11.4	52
283.106484849	5	2	0	25.65	43	38.77	51
296.110969219	5	2	0	18.94	79	29.78	168
307.115933555	5	1	0	17.8	138	6.66	92
320.118371493	5	1	0	36.99	176	4.1	71
331.121463321	5	1	0	18.8	170	11.28	75
344.123266546	5	2	0	3.82	46	12.8	156
359.127964012	5	2	0	31.53	21	39.36	167
372.132896006	5	2	0	9.52	104	21.23	177
383.138059359	5	1	0	13.19	3	17.47	179
398.14277437	5	2	0	8.01	58	33.53	174
