onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.004957317	5	2	0	33.91	17	32.32	11
28.009217204	5	1	0	20.77	62	21.55	87
43.013876401	5	2	0	36.7	51	31.72	14
54.019663871	5	2	0	15.36	30	34.37	85
69.022213134	5	1	0	23.09	80	10.88	18
82.024825382	5	1	0	28.23	1	32.08	23
95.028421481	5	2	0	16.76	6	29	157
110.032530661	5	2	0	29.65	127	23.96	68
121.037360514	5	2	0	22.3	59	36.41	175
134.041706586	5	1	0	39.07	57	20.86	34
145.045204468	5	2	0	16.32	69	31.23	170
160.050718557	5	2	0	19.51	13	29.82	61
173.054290818	5	2	0	37.39	142	31.83	45
188.058712285	5	1	0	27.85	32	32.88	140
199.062223552	5	2	0	2.25	4	23.68	122
218.069897924	5	2	1	36.74	115	22.05	22
229.073642058	5	1	1	10.43	40	32.01	170
244.07683771	5	2	1	13.21	179	9.7	0
255.08131378	5	1	1	36.04	112	36.49	173
268.08614429	5	1	1	2.25	4	23.68	122
279.090994223	5	1	1	14.68	45	21.51	148
294.095799978	5	1	1	4.01	11	37.42	153
309.101543958	5	1	1	20.8	77	22.93	162
320.104881883	5	2	1	20.02	50	16.54	8
335.110044743	5	1	1	13.88	35	23.07	154
348.115116499	5	2	1	13.22	120	6.03	67
361.119481643	5	1	1	27.23	37	35.88	156
374.123795816	5	2	1	29.74	142	25.95	51
389.128554875	5	2	1	5.71	95	19.47	113
402.129727214	5	1	1	4.23	30	15.87	115
