onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006880721	5	1	0	35.89	12	37.92	138
28.011524976	5	2	0	1.1	125	15.48	145
43.016605692	5	2	0	27.3	75	26.05	14
54.021489275	5	1	0	23.29	179	3.98	14
67.022730878	5	2	0	27.88	173	26.06	11
82.026365031	5	2	0	16.12	38	17.68	68
95.029351715	5	2	0	20.02	38	22.12	172
110.034486439	5	1	0	25.08	30	17.04	8
125.039777601	5	2	0	11.87	13	16.04	142
136.042426993	5	2	0	20.85	54	30	104
147.045322258	5	1	0	27.4	130	13.64	16
158.049936945	5	2	0	0.12	62	1.01	90
171.054981288	5	2	0	29.35	24	32.96	109
186.059159112	5	1	0	28.7	78	25.45	63
199.063356679	5	1	0	15.72	180	11.24	157
218.070055662	5	2	1	5.23	94	22.51	171
231.073820289	5	1	1	23.29	179	3.98	14
242.07653579	5	1	1	24.11	91	5.61	89
255.079758693	5	1	1	29.99	95	9.57	50
266.083421031	5	1	1	29.92	153	26.04	61
279.088233385	5	2	1	4.86	20	16.28	121
294.089626062	5	2	1	33.91	119	32.7	8
307.091972267	5	1	1	17.3	9	17.71	73
322.095457471	5	2	1	26.25	48	33.13	161
337.098504486	5	2	1	11.26	155	25.44	166
348.101751212	5	1	1	26.46	158	22.16	74
363.105340975	5	2	1	11.33	23	29.08	67
374.108437236	5	2	1	20.02	38	22.12	172
389.111956756	5	2	1	20.85	54	30	104
400.117070325	5	2	1	16.12	38	17.68	68
