onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.014537796	5	2	1	34.7	130	34.01	19
28.02036358	5	2	1	8.6	83	12.55	158
39.023992336	5	2	1	7.11	15	25.48	44
50.027376122	5	2	1	10.13	51	18.2	91
61.029172236	5	2	1	17.09	62	38.18	153
74.033609224	5	1	1	26.68	96	17.12	63
87.039535755	5	1	1	38	148	2.53	104
102.043151379	5	2	1	0.12	62	1.01	90
115.046926525	5	2	1	10.4	31	16.19	97
130.052315496	5	1	1	30.06	8	30.59	90
145.055106114	5	2	1	26.57	27	31.94	96
160.058326897	5	1	1	19.53	95	17.33	35
173.061369374	5	2	1	5.47	72	16.55	113
186.064923624	5	2	1	36.98	81	37.93	165
197.069165829	5	1	1	34.97	165	29.03	160
218.074967455	5	2	0	11.33	23	29.08	67
229.078056819	5	1	0	29.99	95	9.57	50
240.084405489	5	1	0	9.4	51	9.7	120
253.087830196	5	1	0	33.82	178	21.48	135
266.09326989	5	1	0	36.98	81	37.93	165
277.097617449	5	2	0	13.9	4	34.33	142
288.098872405	5	2	0	2.61	116	16.52	124
299.103818361	5	1	0	35.19	119	29.68	107
312.108220046	5	2	0	23.09	52	33.54	124
325.110850287	5	2	0	5.54	36	19.53	99
340.116282914	5	1	0	28.5	178	1.82	121
355.118785094	5	1	0	27.25	59	18.11	7
368.123658707	5	2	0	28.62	107	31.42	170
383.128279104	5	1	0	10.31	52	6.87	38
398.133584286	5	1	0	35.36	85	36.6	168
