onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.009671948	5	2	1	17.89	45	11.29	6
28.014387181	5	1	1	32.42	133	17.29	46
39.01696296	5	2	1	29.63	145	28.62	62
52.022354962	5	1	1	33.65	32	36.33	136
65.02690902	5	1	1	20.42	81	26.21	113
80.029530977	5	1	1	12.3	30	13.83	169
91.034702408	5	1	1	15.54	74	25.14	140
106.038151006	5	2	1	33.51	101	29.31	95
121.042626738	5	1	1	1.74	4	17.62	97
134.047357882	5	2	1	29.56	110	27.16	98
147.052716632	5	1	1	5.47	31	12.18	89
162.057610467	5	1	1	33.21	34	39.05	95
175.060836173	5	1	1	24.71	18	31.94	171
186.063623027	5	2	1	17.54	166	27.7	175
201.069021964	5	1	1	28.62	17	30.21	61
218.073269105	5	2	0	37.67	165	35.98	52
231.080931415	5	2	0	28.96	35	38.47	88
246.08661977	5	1	0	26.92	59	14.19	33
257.091481464	5	1	0	11.48	33	15.39	143
270.097240604	5	1	0	28.75	56	19.55	23
285.10288969	5	2	0	15.54	74	25.14	140
296.105264441	5	1	0	31.43	46	3.57	12
309.111245488	5	2	0	13.65	85	24.2	147
324.11643244	5	1	0	22.73	24	28.34	179
335.120645069	5	1	0	14.86	10	15.14	86
350.124165125	5	2	0	30.92	12	39.72	30
365.126566449	5	2	0	38.58	159	35.34	37
378.131465364	5	1	0	32.29	46	35.68	178
389.137230204	5	1	0	33.51	101	29.31	95
400.142142961	5	2	0	24.46	74	28.54	122
