onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007551256	5	2	0	14.32	67	24.27	143
30.012858759	5	1	0	32.54	74	16.5	10
45.015691518	5	1	0	23.9	27	29.03	120
56.020279434	5	2	0	5.04	22	23.47	103
69.024848649	5	2	0	11.2	108	10.84	18
84.0288655	5	1	0	26.14	49	34.62	114
95.033394867	5	2	0	25.79	100	25.3	2
106.037364363	5	1	0	5.25	21	6.68	64
121.040990742	5	2	0	18.49	142	28.96	160
132.046886568	5	2	0	21.13	147	20.55	12
147.050254121	5	1	0	30.16	80	30.74	165
162.055008317	5	1	0	38.84	176	20.37	172
175.058338227	5	2	0	30.72	125	26.27	28
188.061664539	5	1	0	17.89	45	11.29	6
199.065212297	5	1	0	33.15	43	24.73	40
218.068790832	5	2	1	15.19	145	38.8	176
229.070654877	5	1	1	34.62	122	4.88	27
244.073995303	5	1	1	8.27	172	0.1	4
259.078187341	5	1	1	32.49	15	32.96	86
272.084974666	5	2	1	30.72	125	26.27	28
283.090976513	5	2	1	32.54	74	16.5	10
296.095215183	5	2	1	29.4	99	24.59	77
309.100110914	5	1	1	31.44	22	34.36	123
322.102872119	5	2	1	25.8	104	39.23	120
337.109179861	5	1	1	36.86	78	4.99	67
350.114225115	5	1	1	10.97	35	18.47	171
361.118904042	5	1	1	27.62	3	29.87	123
376.124450297	5	2	1	4.98	105	17.93	147
387.12982617	5	1	1	14.75	63	26.04	180
402.133225333	5	1	1	24.46	74	28.54	122
