onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.00634326	5	2	1	16.86	63	35.2	74
32.00958973	5	2	1	28.75	56	19.55	23
43.014088496	5	2	1	7.22	155	6.93	61
54.019211631	5	2	1	3.15	58	10	72
65.020971548	5	2	1	24.29	74	15.89	25
78.026210981	5	2	1	26.68	55	35.52	58
91.029749118	5	2	1	13.33	152	15.74	160
104.034491553	5	1	1	3.31	25	8.48	44
115.039214903	5	1	1	37.67	166	35.83	147
130.043354037	5	2	1	38.23	119	22.49	13
141.04484599	5	2	1	7.38	142	8.49	144
156.050744152	5	1	1	9.8	45	21.54	152
169.056068802	5	1	1	16.96	155	2.38	13
184.059580964	5	2	1	25.79	100	25.3	2
197.06497927	5	2	1	31.28	134	29.85	0
218.07248526	5	2	0	17.59	26	23.65	124
229.075752394	5	2	0	27.93	40	37.82	54
242.081229642	5	1	0	25.27	41	25.77	164
257.086043806	5	1	0	23.21	124	6.43	46
272.089126496	5	1	0	30.52	128	27.42	108
283.093411883	5	2	0	25.8	104	39.23	120
294.098808036	5	2	0	3.42	13	21.17	169
307.102625177	5	1	0	36.86	78	4.99	67
320.108612616	5	1	0	31.37	109	30.44	105
333.110608103	5	2	0	1.74	4	17.62	97
344.115038776	5	1	0	32.49	15	32.96	86
357.11988481	5	1	0	38.23	119	22.49	13
368.125854168	5	2	0	29.63	145	28.62	62
383.128847562	5	1	0	14.97	53	15.97	131
398.132599939	5	1	0	27.62	3	29.87	123
