onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.00779736	5	1	0	34.2	166	23.43	78
28.012104495	5	1	0	32.83	112	25.96	108
43.015321734	5	2	0	21.47	84	28.89	108
54.020053955	5	1	0	17.19	22	17.29	158
65.024110226	5	2	0	4.32	53	16.07	119
78.02625478	5	1	0	30.04	120	21.46	108
93.030735082	5	2	0	25.77	83	30.6	166
106.034069033	5	2	0	4.99	135	17.1	150
119.036371607	5	1	0	25.66	109	19.52	19
134.039935404	5	1	0	27.49	178	25.75	148
145.045305684	5	2	0	18.61	118	32.87	167
158.050295754	5	2	0	25.81	66	28.89	117
173.053989674	5	2	0	15.02	11	19.97	24
188.058925105	5	1	0	27.33	149	20.12	63
199.06275625	5	1	0	35.54	159	21.78	57
218.070780158	5	2	1	19.74	54	25.57	174
229.073775726	5	1	1	14.74	156	15.68	179
244.076263882	5	1	1	35.4	80	19.62	33
255.079781587	5	2	1	8.43	65	11.16	178
270.081257534	5	2	1	4.99	135	17.1	150
283.085095467	5	1	1	35.54	159	21.78	57
294.090583752	5	1	1	34.06	94	18.89	83
309.092640248	5	2	1	2.3	6	21.11	92
324.096059492	5	1	1	17.19	22	17.29	158
335.100058767	5	2	1	13.56	34	21.73	80
346.10461639	5	2	1	17.61	77	22.78	145
359.110829279	5	1	1	9.18	120	5.83	7
374.11562127	5	2	1	20.94	125	22.9	135
387.120101139	5	2	1	16.55	3	31.66	176
400.124461081	5	2	1	12.58	135	11.61	47
