onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.010547731	5	1	0	33.25	91	17.72	43
38.018305606	5	2	0	5.52	24	27.36	133
53.022759598	5	1	0	23.35	116	6.54	107
66.025291285	5	2	0	22.17	93	30.95	116
77.0294507	5	1	0	37.38	94	26.45	83
90.033737128	5	1	0	26.98	100	20.75	58
105.037238433	5	1	0	17.13	115	3.9	81
118.04147946	5	2	0	31.04	52	32.69	108
129.044857462	5	1	0	30.79	180	23.86	39
142.048771911	5	1	0	28.37	72	25.34	24
157.051299653	5	2	0	3.74	4	16.08	178
168.054645146	5	2	0	3.31	7	5.12	131
183.05858596	5	2	0	31.5	61	37.7	175
196.063149826	5	1	0	5.24	132	0.97	104
211.065521889	5	2	0	16.23	68	30.85	138
228.072653266	5	2	1	5.52	24	27.36	133
241.077931177	5	2	1	13.34	150	10.16	15
256.081127636	5	1	1	24.87	128	3.76	52
269.08789135	5	2	1	17.78	61	36.73	100
280.093333306	5	2	1	22.17	93	30.95	116
293.098266955	5	2	1	18.01	34	11.28	17
306.102162732	5	2	1	30.25	129	23.65	32
321.107879762	5	2	1	37.18	173	22.46	30
336.111959077	5	2	1	30.3	136	4.43	7
347.115264667	5	1	1	7	37	13.62	171
358.118906925	5	2	1	35.26	77	19.74	39
373.121063689	5	2	1	28.66	88	24.39	31
388.123487198	5	2	1	22.29	121	17.5	31
399.129347026	5	2	1	16.65	165	9.08	12
410.134197822	5	2	1	31.04	52	32.69	108
