onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.008296887	5	1	1	6.89	12	17.92	52
30.010828028	5	1	1	10.19	34	23.14	160
43.01326249	5	2	1	37.92	170	24.05	64
54.014684598	5	1	1	15.23	41	20.69	127
79.026335588	5	1	1	39.37	81	31.71	68
94.032662013	5	1	1	18.31	154	5.77	111
107.03719353	5	2	1	15.27	100	21.63	117
120.041767985	5	1	1	21.05	117	3.05	79
141.05170548	5	1	1	26.39	36	39.71	167
156.05673061	5	2	1	35.76	176	16.48	27
171.062013344	5	1	1	25.08	132	9.16	92
182.067971745	5	1	1	23.35	116	6.54	107
193.073954969	5	2	1	26.87	104	22.04	69
206.077041529	5	2	1	26.13	95	18.77	30
221.082224	5	1	1	22.29	63	23.86	125
238.087164627	5	1	0	27.01	57	13.29	41
251.090251051	5	2	0	15.27	100	21.63	117
266.093068617	5	1	0	30.25	129	23.65	32
277.098570821	5	1	0	25.27	66	14.29	45
292.103053025	5	1	0	21.99	119	3.84	48
307.105504779	5	1	0	23.87	83	22.11	31
322.109891807	5	2	0	22.29	63	23.86	125
333.115975172	5	1	0	28.66	88	24.39	31
344.118941861	5	1	0	37.18	173	22.46	30
357.124165789	5	1	0	12.82	138	4.44	23
370.127384755	5	1	0	32.34	49	24.32	43
383.132428404	5	2	0	2.12	122	25.73	161
394.13547689	5	1	0	26.15	174	23.78	8
407.138772931	5	1	0	38.52	169	36.96	68
422.143265899	5	2	0	16.15	21	20.31	40
