onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005008108	5	1	0	24.07	159	10.72	108
28.009535514	5	2	0	6.45	12	38.91	126
39.013722057	5	1	0	16.65	165	9.08	12
52.01827565	5	2	0	11.57	20	22.93	154
65.020220794	5	1	0	35.26	77	19.74	39
80.024450706	5	1	0	13.34	150	10.16	15
95.027190651	5	1	0	26.87	104	22.04	69
108.029353275	5	1	0	37.92	170	24.05	64
119.03404387	5	1	0	21.05	117	3.05	79
132.038914703	5	1	0	30.3	136	4.43	7
147.043421046	5	2	0	22.85	35	23.76	155
160.047372806	5	1	0	26.13	95	18.77	30
175.051740327	5	2	0	6.89	12	17.92	52
186.055015566	5	1	0	20.06	106	6.57	64
197.058595057	5	2	0	27.91	42	38.74	138
218.064591228	5	2	1	24.63	61	20.66	22
233.066782737	5	1	1	15.46	108	9.84	105
246.070046005	5	2	1	11.32	104	20.22	117
261.072551777	5	1	1	14.94	107	1.46	21
272.076563795	5	1	1	11.57	20	22.93	154
287.081913752	5	1	1	12.28	9	19.04	63
300.084556185	5	2	1	25.88	165	19.64	19
311.08867035	5	1	1	3.31	7	5.12	131
326.092114344	5	2	1	31.75	156	24.94	70
337.096261134	5	1	1	8.34	33	26.26	142
348.100156522	5	1	1	17.13	115	3.9	81
361.105600639	5	1	1	24.07	159	10.72	108
374.110336517	5	1	1	32.76	44	26.37	42
385.11606617	5	2	1	32.48	85	29.49	53
398.120073252	5	1	1	14.9	44	26.55	179
