onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006742853	5	1	1	36.27	92	36.72	134
30.01075828	5	2	1	27.61	54	28.21	123
41.01521672	5	2	1	17.97	26	20.24	63
54.020477659	5	1	1	13.08	143	11.17	45
65.02512779	5	1	1	39.98	36	20.21	15
80.029110583	5	1	1	15.36	143	10.9	97
93.032288792	5	2	1	14.47	91	38.73	141
104.036628104	5	2	1	7.76	41	36.1	174
119.0408764	5	1	1	36.85	156	23.51	139
130.047844119	5	1	1	25.52	111	17.83	86
145.052508114	5	1	1	12.03	23	6.09	1
160.058981428	5	2	1	25.38	87	29.13	157
173.063338147	5	2	1	29.25	132	29.17	57
186.066826581	5	2	1	9.13	43	20.39	170
201.069856145	5	1	1	33.55	31	26.01	28
218.075612651	5	1	0	35.57	2	39.29	89
231.079055213	5	2	0	23.17	98	33.06	124
246.084335495	5	2	0	27.21	135	16.66	10
261.089950083	5	2	0	20.67	27	30.84	32
274.096229707	5	1	0	38.74	40	39.93	122
285.098699264	5	1	0	28.68	122	18.71	78
300.102636155	5	1	0	25.52	111	17.83	86
313.107136222	5	2	0	35.12	144	32.97	65
324.112409042	5	1	0	25.02	111	7.45	33
339.116942163	5	1	0	12.94	92	9.68	60
350.122776683	5	1	0	5.24	93	5.88	126
361.128155654	5	1	0	33.71	67	22.79	36
376.132862986	5	1	0	25.96	177	2.03	160
389.139335385	5	1	0	29.05	159	9.66	119
402.143455838	5	2	0	28.41	112	28.33	39
