onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005189126	5	2	0	15.65	4	31.96	119
30.010300108	5	2	0	8.57	90	13.8	136
45.016616931	5	1	0	23	62	23.99	174
56.017640483	5	2	0	28.79	39	33.44	87
67.021658587	5	2	0	13.21	20	16.36	144
80.028358557	5	1	0	20.96	152	12.77	47
91.035006103	5	2	0	33.55	119	38.17	142
106.041718658	5	1	0	31.92	9	32.07	105
119.047586677	5	2	0	29.59	35	30.96	64
134.051816016	5	2	0	8.95	109	12.65	118
147.056066937	5	2	0	17.28	112	30.47	174
162.059772909	5	1	0	3.85	151	3.13	132
177.064787977	5	2	0	16.22	88	25.33	119
188.068238465	5	2	0	28.74	105	26.13	29
201.074504395	5	2	0	0.67	92	1.71	148
218.082259706	5	1	1	18.75	76	2.04	20
229.088317271	5	2	1	24.54	15	26.97	17
242.092872651	5	1	1	17.38	103	8.38	68
257.099519398	5	1	1	37.5	176	31.56	96
268.103897048	5	1	1	19.11	178	17.7	104
283.109844944	5	1	1	34.38	87	21.3	8
296.115086582	5	1	1	33.89	162	23.13	106
307.117637513	5	1	1	39.97	121	21.24	22
320.123343335	5	2	1	18.11	22	19.17	152
331.128663255	5	2	1	33.55	119	38.17	142
346.133429668	5	1	1	32.09	94	22.06	92
361.138997049	5	1	1	13.05	161	10.71	28
374.146486418	5	1	1	37.72	145	32.56	65
385.151922891	5	1	1	31.92	9	32.07	105
400.156722934	5	1	1	19.55	174	16.53	144
