onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006552843	5	2	1	37.47	171	21.98	23
30.009526378	5	1	1	25.42	147	22.53	12
43.014219405	5	2	1	22.46	0	25.7	77
58.018711428	5	1	1	38.2	132	26.34	118
71.023380088	5	2	1	29.63	111	24.56	88
82.028651683	5	2	1	38.36	158	16.94	41
93.032146817	5	2	1	26.69	27	39.72	67
106.037173493	5	1	1	35	159	5.51	20
121.041741692	5	1	1	8.84	134	28.21	172
134.046427232	5	2	1	37.05	56	27.7	0
145.051321108	5	1	1	19.44	57	39.71	151
160.054682144	5	1	1	19.46	75	4.72	14
175.060941208	5	1	1	32.3	87	29.78	29
186.064703503	5	1	1	36.28	112	24.92	49
197.069813784	5	1	1	26.31	118	32.12	133
218.075849387	5	2	0	8.27	80	15.55	176
231.080356386	5	1	0	32.57	156	27.43	64
242.084745021	5	1	0	12.92	171	3.67	163
257.087886418	5	1	0	6.7	9	8.6	116
268.094113596	5	2	0	35	159	5.51	20
279.097773689	5	1	0	19.53	149	6.95	7
292.10335121	5	2	0	13.99	41	24.78	70
303.107210041	5	1	0	29.05	41	38.28	73
326.114592816	5	1	0	8.23	81	28.92	87
339.118672379	5	1	0	22.68	18	28.22	52
352.122443912	5	1	0	26.57	156	23.78	44
363.125997739	5	2	0	38.36	158	16.94	41
378.13084999	5	2	0	38.2	132	26.34	118
393.134296391	5	1	0	35.58	99	36.49	178
408.139357446	5	1	0	16.25	2	22.07	165
