onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006689432	5	2	0	37.46	126	14.71	55
28.010396975	5	2	0	9.04	58	33.03	117
41.013144361	5	1	0	18.98	162	32.6	165
56.018412727	5	1	0	32.9	87	8.78	66
71.022415049	5	1	0	10.47	22	30.36	68
86.025533579	5	1	0	9.67	86	15.95	100
99.029438064	5	1	0	35.45	153	16.26	62
112.032759642	5	1	0	24.94	81	26.88	166
125.033879294	5	1	0	22.48	43	29.2	179
136.036712385	5	1	0	20.3	124	35.03	163
147.040259686	5	1	0	22.41	18	24.31	30
160.044897309	5	1	0	6.37	13	11.45	81
171.048384921	5	1	0	2.14	1	21.19	112
186.051605577	5	2	0	19.97	28	29.99	130
201.054321577	5	2	0	8.8	57	24.53	168
218.060129788	5	2	1	1.31	60	8	115
233.063623807	5	1	1	35.45	153	16.26	62
246.066326585	5	1	1	33.23	51	37.84	107
259.071107287	5	1	1	14.9	23	17.94	92
274.075217649	5	1	1	12.15	49	33.67	168
289.079756451	5	2	1	9.4	58	17.45	129
304.083643183	5	2	1	7.57	60	18.66	121
315.086573252	5	1	1	19.99	55	22.14	119
336.095436282	5	2	1	37.05	179	15.69	79
347.100407004	5	2	1	37.66	124	25.9	62
360.104787125	5	1	1	37.05	56	27.7	0
373.109642056	5	2	1	5.96	14	34.64	132
384.113801216	5	1	1	18.98	162	32.6	165
395.120098642	5	2	1	22.88	73	11.69	35
408.124543061	5	1	1	22.46	0	25.7	77
