onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007204074	5	2	1	28.24	141	11.45	41
30.013161233	5	2	1	27.03	77	26.84	40
41.019636601	5	2	1	29.65	127	23.96	68
54.022643515	5	1	1	16.32	69	31.23	170
65.026625425	5	1	1	29.27	22	39.51	147
76.031002972	5	1	1	36.92	90	21.99	72
91.033474078	5	2	1	26.96	73	16.25	26
106.037905007	5	2	1	21.19	64	7.29	20
121.042479829	5	1	1	28.23	1	32.08	23
134.048838082	5	1	1	8.08	5	12.79	166
149.052998126	5	1	1	25.13	6	35.41	32
162.057747804	5	1	1	11.49	45	2.26	14
173.061798916	5	1	1	20.47	6	25.34	36
184.065874877	5	1	1	20.97	51	39.64	104
197.070010422	5	2	1	21.55	84	8.41	40
218.078624999	5	2	0	18.95	11	39.55	25
231.083031179	5	2	0	14.16	151	4.18	23
246.0881804	5	2	0	13.22	120	6.03	67
257.09311857	5	2	0	31.61	89	26.07	36
270.098514821	5	2	0	36.74	115	22.05	22
281.102642412	5	1	0	29.27	22	39.51	147
296.10617543	5	1	0	25.45	83	12.67	15
307.107849772	5	2	0	26.13	134	19.78	60
320.11243146	5	1	0	36.92	90	21.99	72
335.116158373	5	2	0	6.89	34	30.9	172
350.119721516	5	1	0	23.79	117	11.41	68
365.124086607	5	2	0	14.08	99	25.48	162
376.12927758	5	1	0	8.08	5	12.79	166
389.132772428	5	2	0	19.37	151	13.78	89
400.13944075	5	2	0	13.88	35	23.07	154
