onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005287763	5	2	0	11.86	107	28.29	126
28.011721601	5	2	0	9.86	49	33.04	150
39.014808151	5	2	0	1.83	94	30.22	145
50.01933314	5	2	0	16.76	2	21.14	22
65.023896417	5	2	0	37.01	147	39.74	168
76.027763493	5	2	0	9.88	31	36.27	92
91.031281209	5	1	0	16.6	163	4.04	64
106.035767466	5	1	0	15.28	58	10.66	18
119.040825311	5	2	0	14.41	162	12	26
132.045405723	5	1	0	12.16	90	3.54	21
143.052584298	5	1	0	21.97	85	11.81	16
158.055510964	5	1	0	36.42	5	37.36	102
171.058356329	5	2	0	28.44	147	28.03	69
184.061386273	5	1	0	23.54	100	15.18	28
197.066262663	5	1	0	20.73	0	21.11	153
218.070982424	5	2	1	16.6	163	4.04	64
231.075390255	5	1	1	19.91	54	28.66	162
246.078333262	5	2	1	0.81	154	11.37	178
261.081540728	5	2	1	28.44	147	28.03	69
274.086678874	5	1	1	20.73	0	21.11	153
285.089472148	5	2	1	21.89	173	9.91	37
296.091476224	5	1	1	26.12	113	5.69	48
309.097556335	5	2	1	5.85	128	13.55	173
324.101238589	5	2	1	16.26	134	14.86	70
339.106455424	5	2	1	12.93	82	20.84	108
350.110724158	5	2	1	1.83	94	30.22	145
363.11523413	5	2	1	30.89	116	29.73	33
376.119547827	5	1	1	36.42	5	37.36	102
387.121648026	5	1	1	39.42	74	22.47	51
412.126955029	5	2	1	10.96	109	22.38	123
