onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007644583	5	2	0	33.75	133	25.43	86
30.011928569	5	2	0	36.69	128	36.5	39
45.016184241	5	2	0	27.21	31	35.31	76
58.019195799	5	1	0	16.1	148	1.09	33
71.021164504	5	1	0	14.66	135	4.3	58
86.023016621	5	1	0	23.15	13	39.27	113
97.026224897	5	1	0	15.01	45	17.97	57
108.031771014	5	1	0	23.31	44	25.46	89
121.036016528	5	2	0	37.82	111	34.35	3
136.043297164	5	2	0	9.21	114	17.11	124
149.048546268	5	2	0	19.23	153	16.47	93
164.053448352	5	1	0	17.4	106	8.39	70
175.056119909	5	2	0	26.66	89	35.68	121
190.061215724	5	1	0	19.54	3	22.17	162
201.063323692	5	2	0	23.47	45	30.39	46
218.06850016	5	1	1	16.24	144	8.35	62
229.073590711	5	2	1	13.22	20	16.38	148
244.077355935	5	2	1	9.1	4	19.76	76
255.08062356	5	1	1	36.24	97	27.52	50
266.086135362	5	2	1	17.03	26	29.53	83
281.090319668	5	2	1	32.68	102	36.32	112
294.094338334	5	1	1	20.79	5	21.18	90
309.100062734	5	1	1	15.43	147	9.91	144
322.104467898	5	2	1	18.19	105	22.13	128
335.109364239	5	1	1	19.54	3	22.17	162
348.115361844	5	2	1	13.39	13	32.37	94
363.117563751	5	2	1	26.86	22	36.22	180
374.121241506	5	2	1	24.69	107	29.64	144
387.127661613	5	1	1	37.82	111	34.35	3
398.132677664	5	1	1	11.02	125	8.33	121
