onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007409389	5	1	0	25.32	168	9.18	97
32.012050053	5	2	0	9.02	165	7.02	9
45.016533525	5	2	0	14.18	73	24.8	180
58.020660051	5	1	0	12.03	23	6.09	1
79.029750688	5	2	0	18.74	153	11.36	110
90.033687729	5	1	0	37.84	68	39.05	169
101.037841851	5	2	0	34.29	154	24.17	88
116.040644292	5	1	0	39.98	36	20.21	15
129.043994856	5	1	0	10.86	1	14.27	50
144.048097381	5	2	0	22.55	149	18.58	46
159.051912105	5	1	0	25.23	47	35.01	172
172.055865067	5	2	0	15.36	143	10.9	97
187.061401903	5	1	0	28.61	74	17.71	58
200.065250186	5	2	0	31.18	25	36.43	44
211.06808102	5	1	0	22.29	35	22.84	100
228.073698939	5	2	1	5.13	13	19.78	135
241.077850913	5	2	1	29.42	43	30.38	141
254.084431722	5	2	1	0.63	19	11.43	135
267.089211108	5	1	1	28.68	122	18.71	78
278.093661088	5	1	1	27.21	135	16.66	10
289.097923697	5	2	1	16.34	93	28.17	137
300.099415696	5	2	1	10.86	1	14.27	50
315.105031706	5	2	1	31.18	25	36.43	44
330.108145081	5	1	1	33.71	67	22.79	36
343.112874545	5	2	1	10.91	105	14.15	129
354.116572391	5	1	1	20.86	36	21.31	100
369.119839214	5	2	1	36.95	103	36.07	13
384.129072338	5	1	1	15.18	27	15.56	104
397.131938033	5	2	1	1.04	101	15.51	151
412.136596708	5	1	1	18.33	126	1.74	98
