onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005492789	5	2	1	0.7	123	8.08	145
30.010517944	5	1	1	33.85	91	31.87	25
45.013136136	5	2	1	2.81	9	6.7	26
58.015761251	5	1	1	37.17	86	16.35	5
69.019881284	5	1	1	17.43	8	17.47	136
80.024173379	5	2	1	5.69	133	4.55	22
93.026651539	5	2	1	13.99	26	31.58	128
108.031103822	5	2	1	17.75	169	16.81	37
121.035552224	5	2	1	20.54	122	27.69	173
134.038752582	5	1	1	11.82	141	1.78	34
145.042790729	5	1	1	28.71	148	28.95	175
160.046905791	5	1	1	32.28	138	17.57	22
171.04970639	5	2	1	26.07	1	30.48	3
186.053956413	5	2	1	11.08	58	17.63	108
197.061635669	5	1	1	26.29	114	16.89	3
218.065989879	5	1	0	37.93	104	32.89	31
229.070378439	5	1	0	16.12	23	18.75	92
244.073358168	5	2	0	13.09	9	17.51	180
259.077152124	5	2	0	39.22	100	38.05	2
274.080903068	5	2	0	4.12	27	9.26	135
289.083982146	5	2	0	0.89	96	4.13	106
302.088954495	5	2	0	4.67	74	13.59	166
317.092468098	5	1	0	31.69	95	14.73	44
328.096669199	5	1	0	32.28	138	17.57	22
341.102413064	5	1	0	35.32	155	26.09	125
352.106287019	5	1	0	31.43	1	33.64	146
365.109659089	5	1	0	11.1	0	12.76	75
376.110588623	5	2	0	17.26	28	38.1	158
389.114435569	5	1	0	38.54	21	39.65	135
402.118791464	5	1	0	20.28	11	21.16	173
