onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.009415256	5	2	0	6.91	72	16.17	152
32.014090409	5	2	0	28.92	68	32.12	131
45.019428809	5	2	0	12.05	89	13.31	169
56.025778021	5	1	0	35.5	87	29.23	19
67.03269824	5	1	0	6.63	175	5.03	18
82.038565845	5	1	0	39.37	166	34.08	49
95.042096858	5	1	0	20.77	150	3.48	36
108.047750732	5	1	0	33.37	180	22.34	49
123.051101616	5	2	0	7.98	137	21.26	139
134.05746369	5	2	0	0.75	101	16.09	134
147.061106682	5	1	0	36.81	174	7.32	75
162.06483484	5	1	0	31.51	147	15.04	83
173.070476628	5	2	0	0.76	125	18.41	128
184.075795458	5	1	0	28.24	169	25.65	32
199.080546215	5	2	0	28.89	10	32.28	135
218.090747602	5	1	1	12.23	137	2.59	136
231.095410125	5	2	1	7.98	137	21.26	139
246.101052939	5	2	1	9.29	120	8.65	7
261.10437634	5	2	1	28.24	169	25.65	32
276.10973963	5	2	1	39.56	165	39.32	62
287.114980425	5	2	1	10.42	17	31.36	76
298.119385036	5	1	1	27.77	151	11.27	115
311.124512375	5	1	1	31.74	153	8.16	141
322.127933081	5	1	1	28.53	73	15.94	24
333.131004578	5	1	1	19.06	38	24.73	80
346.135427689	5	2	1	38.14	92	34.41	43
359.138777805	5	1	1	35.33	80	26.78	68
370.143502215	5	1	1	12.05	89	13.31	169
385.148054497	5	2	1	36.71	152	35.92	41
400.15285623	5	2	1	3.86	6	10.78	47
