onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006723245	5	1	1	9.98	26	16.66	138
30.011566234	5	1	1	34.28	25	37.82	156
41.015085615	5	1	1	12.12	68	24.43	145
56.017998714	5	2	1	36.84	134	22.3	37
71.023145725	5	2	1	20.89	27	20.11	12
84.028205413	5	1	1	24.83	18	32.67	129
97.033203563	5	2	1	5.25	45	15.45	127
112.036709426	5	1	1	34.1	98	35.12	173
123.041604181	5	1	1	24.21	101	38.11	143
134.044772613	5	1	1	14.9	4	19.17	54
145.04965134	5	2	1	12.01	162	7.36	64
160.054073893	5	1	1	6.25	23	9.22	52
173.058087372	5	1	1	22.8	172	0.5	149
184.062731231	5	2	1	13.17	167	30.56	173
199.06829084	5	1	1	14.53	44	14.54	125
218.072887533	5	1	0	21.14	46	21.98	106
229.0778881	5	2	0	7.88	41	16.71	111
240.084343953	5	1	0	1.76	32	1.98	165
255.087045493	5	2	0	12.54	67	14.34	180
268.09094058	5	1	0	29.72	42	26.78	17
283.096986806	5	1	0	28.53	73	15.94	24
294.100488997	5	1	0	25.8	85	6.25	54
307.104631372	5	2	0	9.61	29	12.54	102
318.1097635	5	1	0	21.36	175	4.97	136
329.114245891	5	2	0	0.91	59	1.73	85
342.117904865	5	1	0	23.52	143	12.39	131
357.119516513	5	1	0	9.26	68	1.58	50
372.121986228	5	2	0	19.06	38	24.73	80
385.125189799	5	1	0	22.8	172	0.5	149
398.129963197	5	1	0	39.15	117	26.46	3
