onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.00739365	5	2	1	19.41	36	22.99	89
28.010998297	5	1	1	33.6	106	14.94	61
39.015205	5	2	1	19.34	48	34.02	66
54.017706805	5	2	1	13.59	142	23.87	156
65.020749502	5	1	1	27.18	38	28.32	109
76.023450133	5	2	1	2.75	3	21.3	137
89.028390621	5	1	1	24.07	87	24.63	166
104.034021919	5	2	1	12.94	32	32.86	117
115.037195873	5	2	1	34.8	1	36	120
130.042048058	5	1	1	25.35	159	12.96	75
143.047415996	5	2	1	5.42	10	9.45	113
156.050967967	5	2	1	28.08	176	27.39	50
169.053529855	5	1	1	35.92	111	22.96	19
184.056212697	5	1	1	19.7	132	6.53	58
197.062664911	5	2	1	28.53	177	27.04	34
218.07036174	5	1	0	10.57	10	15.06	144
233.074845091	5	2	0	20.88	126	20.26	2
246.079593892	5	2	0	31.2	112	30.8	55
261.082630131	5	1	0	19.7	132	6.53	58
276.08886885	5	2	0	34.82	63	29.75	55
287.093524511	5	1	0	23.4	59	23.9	180
302.098130647	5	2	0	1.64	138	7.95	145
313.103866163	5	2	0	10.83	21	31.85	108
326.110309556	5	2	0	0.47	25	2.14	112
337.111675819	5	2	0	34.08	145	29.11	58
348.114559152	5	1	0	36.73	52	37.92	68
359.117845482	5	2	0	5.37	28	22.65	145
372.121776817	5	1	0	36.03	29	36.71	61
385.127808124	5	2	0	4.99	99	23.4	125
398.132911965	5	2	0	6.45	157	26.57	161
