onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005940284	5	1	0	36.49	64	36.71	87
28.008681468	5	2	0	5.42	10	9.45	113
39.012830024	5	2	0	13.59	142	23.87	156
52.017687205	5	1	0	35.99	30	29.13	13
67.024124943	5	2	0	6.95	96	9.96	150
80.029234858	5	2	0	26.6	150	38.83	152
91.033417943	5	1	0	35.43	163	25.52	79
106.039822303	5	2	0	19.32	89	37.09	171
121.044834435	5	2	0	24.8	25	37.09	71
136.050126911	5	2	0	15.65	124	21.71	177
149.057115866	5	1	0	22.7	63	31.41	93
162.060706586	5	1	0	29.26	125	16.72	54
173.064609226	5	1	0	32.68	102	6.01	19
186.068210466	5	1	0	29.98	18	31.8	163
201.070705867	5	1	0	27.18	38	28.32	109
218.075881945	5	2	1	24.8	25	37.09	71
233.079747207	5	1	1	34.08	145	29.11	58
246.084064238	5	2	1	15.71	35	21.33	59
261.089508649	5	2	1	8.63	5	16.68	56
272.093885182	5	1	1	35.04	57	36.47	179
285.098180972	5	2	1	6.95	96	9.96	150
300.101659378	5	1	1	35.99	30	29.13	13
311.105773642	5	2	1	21.92	139	19.84	34
326.110418035	5	2	1	31.01	15	33.15	177
337.115059282	5	1	1	39.96	150	37.52	118
348.119626909	5	1	1	38.02	92	28.23	59
361.122908001	5	2	1	17.96	136	21.62	171
384.130583801	5	2	1	9.54	94	15.41	153
399.136098146	5	2	1	7.4	104	13.8	105
412.141982765	5	1	1	36.03	29	36.71	61
