onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007019578	5	1	1	13.82	32	14.04	148
28.010100774	5	2	1	25.33	151	25.28	80
41.013768089	5	2	1	12.58	48	23.74	123
56.017255471	5	1	1	17.64	27	20.7	68
71.022600818	5	1	1	36.16	169	20.65	137
82.02732911	5	2	1	10.83	21	31.85	108
93.030341636	5	1	1	20.36	37	21.58	161
106.034914563	5	1	1	34.82	63	29.75	55
121.040996128	5	1	1	29.98	18	31.8	163
132.04527312	5	2	1	23.16	57	30.6	164
143.051124643	5	2	1	36.73	52	37.92	68
156.055971629	5	1	1	8.31	174	0.48	107
169.061672886	5	1	1	38.82	104	13.45	20
184.065785381	5	2	1	18.42	93	28.94	96
197.069994909	5	1	1	28.84	106	13.24	103
218.077095578	5	2	0	17.64	27	20.7	68
229.080576169	5	2	0	9.54	94	15.41	153
240.087380511	5	2	0	20.99	52	28.19	167
255.091087202	5	2	0	19.64	114	21.37	130
268.095432044	5	2	0	28.42	15	35.44	24
283.096971574	5	2	0	26.74	148	21.29	34
294.100671292	5	2	0	19.41	36	22.99	89
305.105134324	5	1	0	32.1	136	14.34	40
320.110883544	5	1	0	13.36	119	2.68	62
335.113786797	5	1	0	25.16	35	23.03	17
348.117525586	5	1	0	35.04	57	36.47	179
361.123762325	5	1	0	24.61	153	10.25	112
376.127719205	5	1	0	34.8	1	36	120
389.130682547	5	2	0	35.35	33	39.32	168
402.133653397	5	2	0	23.35	83	38.83	151
