onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005995331	5	1	0	15.47	113	3.16	111
28.011011119	5	2	0	1.86	81	8.48	126
41.013693628	5	2	0	14.61	35	39.08	172
52.017400954	5	2	0	2.02	2	4.29	44
65.021883617	5	2	0	20.93	59	26.73	94
76.026518835	5	2	0	6.18	71	31.23	157
91.031244085	5	2	0	13.9	42	20.17	115
102.034978052	5	2	0	5.04	50	19.35	74
113.039576187	5	2	0	27.78	49	37.13	147
128.04504351	5	2	0	13.3	90	21.81	136
141.047994195	5	2	0	7.95	71	30.07	121
156.053790888	5	2	0	21.67	44	27.59	107
171.057589874	5	2	0	32.13	64	36.87	127
186.061092512	5	1	0	14.24	96	6.35	32
199.06385614	5	2	0	30.16	8	39.22	14
218.069129579	5	2	1	9.52	68	24.78	162
231.075358294	5	2	1	9.64	73	8.5	11
244.07942956	5	1	1	18.16	165	5.36	93
257.085804926	5	1	1	25.7	6	36.79	64
268.088245596	5	2	1	35.27	124	27.28	25
279.092392929	5	1	1	7.67	113	0.61	20
294.097007088	5	1	1	13.3	90	21.81	136
309.099199556	5	1	1	9.88	15	11.98	170
324.104234062	5	1	1	27.78	49	37.13	147
337.107410991	5	2	1	7.95	71	30.07	121
348.111718583	5	2	1	39.16	119	6.74	23
359.117439674	5	1	1	27.93	46	34.97	72
370.122744718	5	2	1	29.19	177	18.41	86
385.127291373	5	2	1	28.72	38	20.43	17
398.131306905	5	2	1	22.79	12	39.13	34
