onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005331619	5	2	0	21.5	15	27.79	69
30.009331949	5	2	0	13.57	74	24.49	88
41.014645799	5	1	0	37.59	141	12.85	45
56.018698033	5	2	0	26.37	34	38.03	53
69.02251302	5	2	0	22.79	137	39.38	170
80.027005778	5	2	0	5	3	36.82	155
91.03163105	5	2	0	9.57	2	14.91	136
106.035911455	5	1	0	35.93	117	27.97	54
121.040536749	5	1	0	22.29	159	7.96	48
134.045354055	5	1	0	29.26	112	23.76	24
149.049642634	5	1	0	20.47	90	20	46
164.053674078	5	2	0	7.43	8	32.33	57
177.059557593	5	2	0	25.36	27	35.66	65
188.064411353	5	2	0	21.6	104	22.31	157
201.068895633	5	1	0	11	159	10.84	69
218.07614084	5	1	1	37.46	180	18.84	143
233.080117762	5	1	1	19.86	33	26.6	133
244.083322927	5	1	1	21.2	142	1.89	56
255.088441155	5	1	1	31.39	77	22.77	66
268.090829059	5	2	1	8.04	114	23.26	136
283.093290634	5	2	1	19.09	115	14.83	13
294.096511305	5	2	1	37.59	141	12.85	45
307.101065133	5	1	1	32.13	64	36.87	127
318.106953791	5	2	1	22.79	137	39.38	170
331.109289078	5	1	1	25.53	29	37.47	146
344.113404024	5	2	1	34.96	85	24.33	25
359.117115344	5	2	1	32.26	68	30.22	37
382.126969573	5	2	1	30.09	178	7.48	49
397.133283472	5	1	1	38.13	167	28.67	156
412.134718834	5	2	1	5.37	129	26.96	150
