onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006664112	5	1	1	21.08	122	7.16	30
30.010035557	5	2	1	24.31	31	32.92	131
41.014827492	5	2	1	8.56	159	4.43	89
52.020828145	5	1	1	1.3	32	34.48	148
67.028170964	5	2	1	5.68	56	17.3	70
82.03263407	5	1	1	7.71	23	8.73	99
93.038043751	5	1	1	25.87	24	32.08	76
108.041984296	5	1	1	21.74	15	22.94	158
121.046861315	5	1	1	24.07	4	29.35	97
134.049756676	5	2	1	37.11	169	14.23	64
149.053245435	5	2	1	24.41	42	25.83	178
164.05846568	5	2	1	35.7	171	21.17	147
175.063323791	5	1	1	36.95	53	38.03	168
188.068591505	5	1	1	25.7	5	27.22	131
199.075275724	5	2	1	31.07	35	32.02	162
218.08042607	5	2	0	37.77	65	36.7	24
231.085347485	5	2	0	23.22	86	25.28	106
244.088308896	5	2	0	38.16	53	39.33	122
255.093781878	5	2	0	31.27	139	19.85	71
268.09908612	5	2	0	8.58	135	5.32	22
283.107102987	5	1	0	24.31	31	32.92	131
294.11433315	5	2	0	27.74	83	27.82	132
309.118688393	5	1	0	10.32	123	4.23	104
320.121200809	5	1	0	14.24	27	18.75	143
333.124306058	5	2	0	19.72	13	36.85	54
344.128573217	5	2	0	16.07	67	24.43	89
357.133163086	5	2	0	3.2	100	17.89	153
368.138670314	5	2	0	30.4	35	35.55	77
383.144298407	5	2	0	8.17	128	3.95	87
398.149429809	5	2	0	24.77	173	24.66	1
