onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006974881	5	1	1	37.47	171	21.98	23
30.011578863	5	1	1	26.17	36	26.64	79
41.01793668	5	1	1	26.49	40	31.49	117
56.022343209	5	1	1	25.42	147	22.53	12
71.026154431	5	2	1	2.14	1	21.19	112
84.029654	5	1	1	27.39	131	16.02	54
95.031205477	5	2	1	31.44	138	5.44	64
106.036794587	5	2	1	15.4	19	33.06	47
117.038989849	5	1	1	6.37	13	11.45	81
128.047596806	5	2	1	21.99	125	8.95	22
141.054431579	5	2	1	20.3	124	35.03	163
156.057670468	5	2	1	39.46	148	26.02	15
171.062016674	5	1	1	35.55	53	16.19	31
184.067141364	5	1	1	23.24	54	34.51	136
199.071855089	5	2	1	0.36	88	22.48	91
218.081285444	5	2	0	4.69	2	9.91	65
233.086819508	5	2	0	32.57	156	27.43	64
246.090662585	5	2	0	22.88	73	11.69	35
257.095340898	5	1	0	6.44	24	30.66	103
272.099743948	5	1	0	14.06	44	29.65	159
283.105817518	5	1	0	31.29	143	19.85	88
296.110221552	5	1	0	30.89	22	34.02	91
311.115757133	5	1	0	18.84	92	2.39	46
324.119608309	5	2	0	14.85	44	21.15	109
339.123365704	5	2	0	37.36	177	36.88	106
352.127332882	5	1	0	8.27	80	15.55	176
363.131303709	5	2	0	21.99	125	8.95	22
376.136016656	5	2	0	6.7	9	8.6	116
391.140095169	5	1	0	16.23	28	17.28	59
402.145333789	5	2	0	12.92	171	3.67	163
