onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.008119057	5	2	1	21.63	108	29.62	122
32.01159112	5	2	1	28.68	121	39.41	161
47.013700087	5	1	1	30.89	22	34.02	91
60.01925476	5	1	1	12.1	172	4.29	153
75.025228676	5	1	1	8.8	57	24.53	168
86.027699585	5	2	1	23.29	6	24.22	16
97.033303216	5	2	1	22.41	18	24.31	30
108.037776345	5	2	1	12.91	76	35.84	150
121.044016929	5	2	1	8.41	96	1.43	65
136.047779488	5	2	1	32.3	87	29.78	29
147.049345668	5	1	1	7.16	10	21.32	55
158.053266247	5	2	1	21.2	104	13.83	97
171.057902434	5	2	1	6.27	23	30.48	134
184.059903105	5	2	1	8.84	134	28.21	172
199.064762535	5	1	1	24.94	81	26.88	166
218.071825772	5	1	0	20.88	45	28.62	177
231.080053399	5	2	0	39.46	148	26.02	15
246.08643413	5	1	0	21.61	42	31.06	91
257.091548097	5	1	0	18.78	110	5.69	89
270.097039666	5	1	0	3.95	3	4.07	37
285.099910618	5	2	0	7.06	92	20.46	119
296.10458161	5	2	0	34.56	166	18.62	101
309.10907102	5	2	0	25.78	23	38.63	141
322.11399416	5	2	0	13.99	41	24.78	70
333.118445448	5	1	0	20.5	32	22.03	121
348.121304737	5	2	0	22.35	46	38.45	170
359.125750632	5	1	0	7.16	10	21.32	55
370.129561991	5	1	0	35.58	99	36.49	178
383.135517237	5	1	0	16.25	2	22.07	165
398.140485155	5	1	0	5.42	40	16.34	157
