onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007326313	5	1	0	26.82	87	11.53	70
32.011857948	5	2	0	23.85	84	31.67	159
43.015409625	5	1	0	22.67	153	17	2
58.018644357	5	1	0	14.56	179	0.08	6
73.022697925	5	1	0	34.85	104	7.39	51
84.027151281	5	2	0	8.8	9	24.71	103
97.029616761	5	1	0	18.81	44	10.89	11
112.032549301	5	2	0	22.25	108	33.44	130
125.037902174	5	1	0	26.63	65	28.84	166
140.041129493	5	1	0	21.39	137	5.7	74
153.046367783	5	2	0	36.35	159	35.61	103
166.05242172	5	1	0	37.27	136	35.98	100
177.05891085	5	1	0	35.5	54	30.31	31
188.064520285	5	1	0	30.08	18	31.47	167
199.068410594	5	2	0	31.6	29	38.16	135
218.074961038	5	1	1	21.92	36	19.63	18
233.080627345	5	2	1	37.09	150	12.27	77
244.083159116	5	1	1	32.54	22	37.47	71
259.089047741	5	2	1	4.58	149	4.35	23
274.094997875	5	2	1	26.69	164	35.65	173
289.097737901	5	1	1	8.01	58	33.53	174
300.102447596	5	2	1	36.35	159	35.61	103
315.105740409	5	2	1	37.46	63	30.76	29
326.110254571	5	1	1	35.5	54	30.31	31
337.114865855	5	1	1	30.69	19	31.17	33
348.117167298	5	2	1	18.8	170	11.28	75
361.122318541	5	1	1	31.56	141	12.11	49
374.127473857	5	1	1	31.53	21	39.36	167
387.131739888	5	2	1	7.9	112	17.63	150
400.13592086	5	1	1	20.2	28	20.54	158
