onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.004805928	5	1	1	8.59	10	8.65	170
32.007962432	5	2	1	35.06	171	14.15	86
43.01317406	5	2	1	35.37	134	29.77	71
58.016955614	5	2	1	17.41	122	12.73	44
69.019503678	5	1	1	2.57	2	31.96	102
84.025614891	5	2	1	30.67	125	22.87	18
97.031011165	5	2	1	23.09	37	37.13	46
108.036480345	5	2	1	37.18	160	25.08	110
123.043875056	5	1	1	27.2	49	38.14	137
134.047857736	5	1	1	24.56	35	24.58	91
147.052603537	5	2	1	2.93	176	2.91	77
160.054956722	5	1	1	2.5	0	39.89	146
173.059901874	5	1	1	31.13	102	39.6	153
188.064045563	5	1	1	4.82	4	15.45	145
201.067677027	5	2	1	0.23	81	12.42	148
218.072698251	5	2	0	35.65	105	27.83	8
231.080008605	5	1	0	8.59	10	8.65	170
244.085453087	5	2	0	4.82	4	15.45	145
255.089656308	5	1	0	27.07	138	13.72	83
268.09475374	5	2	0	15.55	75	13.03	17
283.099657672	5	1	0	28.44	67	32.07	108
298.10690945	5	1	0	28.91	29	17.25	15
309.110193306	5	1	0	18.17	162	6.57	126
324.113984146	5	1	0	24.66	28	25.81	77
339.115762815	5	2	0	1.49	103	14.61	158
350.120891915	5	1	0	32.89	12	34.61	76
363.12306837	5	2	0	13.17	83	33.71	148
376.131898394	5	2	0	36.76	166	32.45	18
387.135167717	5	2	0	7.33	107	10.77	116
398.137644633	5	1	0	33.6	79	38.29	166
