onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007287199	5	1	1	31.09	176	18.35	173
30.010874979	5	2	1	21.83	115	14.99	41
41.014062189	5	1	1	6.06	5	20.75	52
52.018212153	5	2	1	23.12	122	8.36	57
67.022456268	5	2	1	2.08	55	38.05	171
80.025421217	5	2	1	30.89	171	21.47	42
95.02751227	5	1	1	24.7	164	5.13	120
108.030638397	5	2	1	32.81	156	27.58	47
119.033709842	5	2	1	10.11	133	3.45	33
132.036769962	5	1	1	32.89	12	34.61	76
145.038969534	5	1	1	10.33	21	17.53	76
160.044247583	5	1	1	26.23	11	32.65	137
171.047878744	5	1	1	28.91	29	17.25	15
186.052724818	5	1	1	11.62	91	24.24	179
197.055242735	5	1	1	21.76	47	32.01	178
218.063381281	5	1	0	7.95	69	11.42	96
229.06666534	5	1	0	22.34	122	11.6	70
244.070319299	5	1	0	10.33	21	17.53	76
259.074748389	5	2	0	30.36	156	28.03	59
272.080983991	5	2	0	33.36	88	31.03	38
283.086352802	5	2	0	17.41	122	12.73	44
294.090589407	5	1	0	10.11	133	3.45	33
309.09643781	5	1	0	20.93	26	22.22	137
320.101662241	5	2	0	33.79	80	39	95
333.105352965	5	2	0	15.64	75	24.15	109
348.10937357	5	2	0	5.74	4	32.8	74
359.11477412	5	1	0	11.35	20	11.42	61
374.120035947	5	1	0	37.18	160	25.08	110
387.124487185	5	1	0	5.81	41	0.75	19
400.127955237	5	1	0	14.86	46	15.76	163
