onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.00574877	5	2	1	37.08	111	39.15	123
30.010405586	5	1	1	21.24	80	6.51	67
45.013428515	5	1	1	9.09	117	8.55	100
56.01745528	5	1	1	37.39	104	38.46	178
67.022269762	5	1	1	9.18	142	1.55	60
80.024210956	5	2	1	17.35	101	22.22	155
95.027581101	5	1	1	10.37	167	8.4	159
110.031308481	5	2	1	29.31	38	30.58	57
123.036213727	5	1	1	35.32	155	26.09	125
136.040193402	5	1	1	33.7	176	21.84	63
149.042104427	5	2	1	25.33	116	35.24	173
160.047006132	5	1	1	16.09	166	8.35	117
171.050977234	5	1	1	39.89	159	11.07	6
186.053487961	5	2	1	10.76	20	20.32	137
201.059169994	5	2	1	15.93	12	20.42	28
218.066399789	5	1	0	37.57	14	39.74	174
231.070834492	5	1	0	26.22	89	12.31	6
246.07545746	5	2	0	25.33	116	35.24	173
259.078324703	5	1	0	24.99	179	2.45	16
272.081814368	5	2	0	11.04	179	8.08	1
283.08463319	5	2	0	19.16	151	18.75	29
298.087944683	5	2	0	16.19	82	15.22	18
309.091015967	5	2	0	1.42	32	6.5	165
322.095635229	5	1	0	30.46	170	22.58	5
333.101635146	5	1	0	35.03	76	35.35	148
348.109214762	5	1	0	39.67	132	14.65	130
359.113385719	5	2	0	17.35	101	22.22	155
372.118501817	5	1	0	6.11	42	3.63	34
383.123353603	5	2	0	25.41	29	31.07	60
398.126623427	5	2	0	27.36	7	35.82	130
