onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.00541918	5	2	1	13.78	27	23.87	38
30.010442856	5	1	1	22.38	152	10.59	10
43.015058835	5	2	1	13.09	9	17.51	180
54.01918795	5	1	1	36.79	103	22.24	32
67.023321359	5	1	1	37.04	146	20.11	93
80.028692782	5	2	1	2.28	134	5.59	140
91.033555898	5	2	1	37.87	63	39.73	178
102.038509885	5	1	1	35.03	76	35.35	148
115.041809159	5	1	1	20.18	58	8.2	48
130.044712364	5	2	1	36.88	9	38.84	140
145.049987726	5	1	1	28.7	140	19.39	53
160.054011818	5	2	1	12.52	62	11.35	8
171.056611866	5	1	1	6.11	42	3.63	34
186.061790583	5	1	1	39.67	132	14.65	130
201.0665167	5	2	1	4.67	74	13.59	166
218.07463848	5	2	0	14.07	36	16.99	70
231.077943729	5	2	0	13.19	6	23.8	86
246.080286259	5	1	0	12.61	5	15.44	80
261.084166117	5	1	0	9.18	142	1.55	60
272.088068341	5	1	0	16.48	18	19.44	87
283.092925444	5	1	0	30.91	116	13.71	72
294.09777926	5	2	0	14.12	37	25.97	141
309.104163092	5	1	0	37.04	146	20.11	93
322.108764082	5	2	0	18.01	125	17.32	27
333.114277917	5	1	0	9.68	42	3.67	22
346.119966671	5	1	0	23.04	91	5.32	87
357.122763944	5	2	0	16.34	150	15.2	54
370.128069189	5	1	0	37.17	86	16.35	5
385.132596819	5	1	0	15.61	51	15.8	66
400.137549076	5	2	0	22.93	133	31.76	150
