onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006458265	5	1	0	27.8	117	14.66	72
28.011683607	5	2	0	20.79	31	23.84	177
41.014111886	5	1	0	23.41	58	38.56	72
54.01750313	5	1	0	23.16	58	21.09	2
65.021881419	5	1	0	22.62	45	25.2	169
80.025784108	5	2	0	26.37	150	16.59	26
91.028969179	5	2	0	29.98	81	27.6	28
104.033752337	5	2	0	35.01	172	5.81	78
119.039064487	5	2	0	33.29	170	26.26	36
134.04376562	5	1	0	22.76	143	22.72	46
149.051395016	5	2	0	17.8	37	28.54	58
162.054845856	5	1	0	32.49	177	32.4	108
177.057349385	5	2	0	31.99	65	33.11	140
188.061253956	5	1	0	15.06	113	7.43	26
199.065462872	5	2	0	27.51	171	27.42	16
218.069577309	5	2	1	25.84	120	35.18	170
231.072540936	5	1	1	12.16	179	9.98	14
244.076402302	5	2	1	30.89	116	18.97	28
259.081920987	5	2	1	6.72	68	11.18	74
270.085530193	5	2	1	38.47	165	36	8
285.089140415	5	1	1	15.11	173	13.65	125
296.094154243	5	1	1	33.77	179	20.84	88
309.098662786	5	1	1	27.8	117	14.66	72
320.101313172	5	2	1	19.63	89	8.72	33
331.10654307	5	1	1	12.42	36	24.93	47
346.1114435	5	1	1	13.43	154	12.71	82
361.115231323	5	1	1	27.51	171	27.42	16
374.119926987	5	1	1	21.63	59	26.66	70
389.12339468	5	2	1	26.37	150	16.59	26
400.127095325	5	1	1	29.98	81	27.6	28
