onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007309271	5	1	0	38.47	68	25.75	31
32.010575738	5	2	0	34.92	104	32.2	86
45.015515339	5	1	0	22.68	7	27.36	112
58.020706458	5	2	0	25.69	97	21.48	68
71.024890246	5	1	0	16.24	144	8.35	62
84.029083908	5	2	0	34.21	71	32.46	1
99.034212475	5	2	0	33.98	158	37.17	164
110.038853962	5	1	0	25.12	171	9.37	12
121.041075251	5	1	0	33.69	141	35	176
132.04673554	5	1	0	19.52	107	6.77	5
145.051250273	5	2	0	18.38	44	32.73	56
160.056735138	5	1	0	32.76	60	36.2	93
175.061078661	5	1	0	20.1	34	21.72	162
186.062064732	5	2	0	26.61	81	25.21	11
197.066549854	5	1	0	36.32	165	3.98	113
218.074482863	5	2	1	24.92	26	37.9	88
229.078586422	5	2	1	34.04	27	36.46	38
242.083636888	5	1	1	37.95	26	32.56	1
257.087823885	5	2	1	33.98	158	37.17	164
270.091314845	5	1	1	33.75	133	25.43	86
283.094684062	5	1	1	35.44	106	32.63	82
294.099384644	5	1	1	25.69	97	21.48	68
305.102566485	5	1	1	25.87	167	5.98	14
316.108088029	5	1	1	39.39	50	28.55	0
331.113793104	5	1	1	30.54	170	12.18	51
342.11694949	5	2	1	34.4	98	34.38	14
357.12349155	5	1	1	24.06	166	19.88	73
372.127285064	5	2	1	19.15	37	35.65	129
385.135194697	5	1	1	29.53	19	31.34	152
398.139885043	5	1	1	16.1	148	1.09	33
