onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.008605937	5	1	1	34.92	104	32.2	86
28.014735013	5	1	1	27.5	170	9.08	163
41.018971585	5	1	1	17.4	106	8.39	70
52.024603085	5	1	1	15.2	134	7.94	81
63.027696194	5	2	1	11.89	27	31.43	123
76.030875899	5	2	1	34.19	120	33.6	43
91.033508675	5	2	1	15.93	126	24.16	162
104.037675967	5	1	1	19.2	15	19.73	147
115.042418633	5	1	1	31.65	78	8.89	57
130.045879524	5	2	1	23.31	44	25.46	89
143.050797965	5	2	1	13.78	151	13.12	48
158.054573038	5	1	1	17.79	46	18.64	91
171.057949941	5	2	1	4.26	129	4.24	61
186.062586857	5	2	1	30.54	19	34.28	54
197.066004218	5	1	1	36.62	150	11.68	147
218.07218488	5	2	0	8.93	67	34.31	147
233.0738111	5	2	0	29.17	160	25.19	5
248.078331705	5	2	0	35.99	116	32.38	26
259.083569476	5	2	0	24.92	26	37.9	88
270.086825017	5	2	0	8.17	53	10.44	87
285.091228589	5	2	0	26.71	92	25.5	80
296.095201645	5	1	0	35.61	164	11.78	47
307.099155665	5	2	0	30.37	39	29.8	0
322.102563782	5	1	0	11.34	63	17.14	143
337.105949604	5	2	0	37.95	26	32.56	1
348.112556284	5	1	0	27.5	170	9.08	163
361.1174145	5	1	0	36.62	150	11.68	147
374.123036823	5	2	0	16.67	10	33.8	175
387.129135282	5	2	0	13.78	151	13.12	48
400.132302502	5	1	0	34.26	128	19.2	0
