onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006806624	5	2	1	31.31	49	36.9	50
32.009441637	5	1	1	32.8	97	33.25	169
45.012730515	5	2	1	16.43	144	15.64	11
56.018340198	5	1	1	34.67	36	34.97	142
69.024109107	5	1	1	25.57	61	7.43	21
84.028704988	5	2	1	17.32	47	21.9	116
99.032723966	5	1	1	35.99	116	32.38	26
112.03528946	5	2	1	12.48	110	15.64	154
127.037746176	5	1	1	15.8	163	6.58	120
138.04168758	5	1	1	22.7	151	6.97	138
149.046060249	5	1	1	38.04	117	30.33	46
164.049749307	5	2	1	10.46	88	9.01	71
177.055436318	5	1	1	8.44	9	10.94	118
188.059920396	5	2	1	26.66	89	35.68	121
201.064632814	5	1	1	16.5	72	6.95	70
218.07141862	5	2	0	23.69	179	20.01	143
233.075140934	5	2	0	18.19	105	22.13	128
246.080784894	5	1	0	33.93	168	23.16	166
261.084403546	5	2	0	9.28	9	12.12	48
276.089911314	5	1	0	6.65	126	0.31	84
289.094895461	5	1	0	39.39	50	28.55	0
302.09903629	5	1	0	19.47	0	19.85	114
313.104493349	5	2	0	11.89	27	31.43	123
324.110617216	5	2	0	28.76	19	37.16	99
337.114156908	5	1	0	11.02	125	8.33	121
348.118861814	5	1	0	20.79	5	21.18	90
363.123552296	5	1	0	15.2	134	7.94	81
374.128460613	5	1	0	33.89	156	23.15	58
387.133889221	5	2	0	34.19	120	33.6	43
402.139850046	5	2	0	9.1	4	19.76	76
