onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.008284291	5	1	0	28.46	116	18.27	41
30.009931081	5	2	0	19.15	37	35.65	129
45.014376036	5	1	0	31.65	78	8.89	57
60.021654982	5	2	0	16.43	144	15.64	11
73.026182109	5	1	0	25.87	167	5.98	14
86.030713742	5	1	0	34.04	27	36.46	38
97.038679235	5	1	0	12.48	110	15.64	154
112.044687831	5	2	0	34.4	98	34.38	14
123.049459269	5	2	0	7.76	115	3.05	28
134.052806694	5	1	0	17.79	46	18.64	91
147.058171859	5	1	0	26.86	22	36.22	180
162.059080652	5	1	0	19.2	15	19.73	147
175.062885236	5	1	0	15.43	147	9.91	144
186.066850291	5	1	0	25.57	61	7.43	21
197.072890307	5	1	0	11.32	103	1.15	51
218.078589265	5	1	1	26.46	156	20.32	36
229.084799975	5	2	1	28.87	141	27.5	14
240.087811694	5	2	1	29.52	178	27.84	27
251.090300462	5	2	1	33.69	141	35	176
264.091625239	5	1	1	22.48	59	23.11	166
279.095911516	5	1	1	36.75	99	19.83	3
294.099701612	5	1	1	24.53	168	6.28	110
307.102304788	5	1	1	14.66	135	4.3	58
318.106604454	5	1	1	36.93	68	38.35	165
331.109821544	5	1	1	34.26	128	19.2	0
354.119522246	5	1	1	11.32	103	1.15	51
369.123712979	5	1	1	23.69	179	20.01	143
384.128666721	5	2	1	23.15	13	39.27	113
399.13211569	5	1	1	36.32	165	3.98	113
412.133942842	5	2	1	9.28	9	12.12	48
