onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.009328408	5	1	0	39.81	179	16.84	30
30.013156312	5	1	0	16.5	72	6.95	70
43.017641133	5	1	0	30.54	170	12.18	51
56.023219614	5	1	0	5.6	22	7.15	66
67.025681993	5	2	0	14.35	133	13.22	52
78.029536594	5	1	0	36.75	99	19.83	3
93.035831629	5	2	0	29.52	178	27.84	27
106.037722618	5	2	0	17.03	26	29.53	83
121.043076626	5	2	0	39.07	105	38.88	59
132.045628926	5	1	0	22.48	59	23.11	166
143.052405012	5	1	0	25.08	160	10.42	131
158.055702288	5	1	0	29.53	19	31.34	152
171.060228552	5	2	0	16.02	57	32.37	174
186.062588033	5	2	0	15.93	126	24.16	162
197.067319296	5	1	0	8.44	9	10.94	118
218.076828326	5	1	1	38.47	68	25.75	31
229.07993437	5	2	1	5.6	22	7.15	66
240.084149656	5	1	1	29.17	160	25.19	5
253.088421498	5	1	1	6.65	126	0.31	84
264.094473308	5	2	1	32.76	60	36.2	93
279.09728711	5	1	1	28.66	112	11.01	20
294.102020277	5	2	1	19.47	0	19.85	114
309.105644425	5	1	1	35.61	164	11.78	47
322.1116801	5	2	1	9.21	114	17.11	124
333.116281965	5	1	1	33.89	156	23.15	58
346.12212031	5	2	1	25.36	90	26.88	93
361.124890659	5	1	1	7.76	115	3.05	28
374.128776861	5	2	1	15.01	45	17.97	57
389.133540387	5	2	1	36.69	128	36.5	39
402.138497168	5	1	1	14.2	148	3.6	8
