onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006237686	5	2	0	19.86	33	26.6	133
30.010656715	5	1	0	36.06	180	16.07	94
41.016393477	5	1	0	35.05	164	34.94	73
54.021294157	5	1	0	38.13	167	28.67	156
69.026610247	5	2	0	8.04	114	23.26	136
82.030916888	5	1	0	27.6	171	19.03	97
93.034352118	5	1	0	39.16	119	6.74	23
104.039215144	5	2	0	1.09	2	6.63	142
119.044990159	5	1	0	9.98	106	7.6	17
134.052397879	5	2	0	14.71	43	16.93	114
145.054708679	5	2	0	17.4	141	26.27	152
156.058227043	5	2	0	23.6	36	25.47	107
171.061702116	5	1	0	34.96	85	24.33	25
184.065875085	5	1	0	28.91	35	13.33	17
197.069093889	5	2	0	5.37	129	26.96	150
218.074084791	5	2	1	9.77	153	7.34	22
231.078100315	5	1	1	5.82	3	18.32	136
246.081993698	5	1	1	13.9	42	20.17	115
257.085782218	5	2	1	6.18	71	31.23	157
268.088818626	5	1	1	8.26	54	4.26	38
281.090434856	5	2	1	1.86	81	8.48	126
294.093773188	5	1	1	2.03	10	3.76	68
307.098482127	5	1	1	21.5	15	27.79	69
322.104871751	5	2	1	20.72	148	10.86	88
333.109302931	5	1	1	14.61	35	39.08	172
348.11181053	5	2	1	7.83	33	30.92	146
359.117720904	5	1	1	29.3	94	7.07	9
374.121205164	5	2	1	13.24	100	12.91	27
387.126001492	5	2	1	5.44	19	25.99	171
398.133125336	5	1	1	5	3	36.82	155
