onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005005354	5	2	1	28.36	149	15.44	39
28.008914838	5	2	1	35.05	164	34.94	73
41.011759746	5	2	1	4.1	52	29.78	171
56.014107252	5	1	1	10.37	51	23.64	95
67.017645	5	2	1	27.6	171	19.03	97
78.021732137	5	2	1	28.91	35	13.33	17
91.027070127	5	2	1	32.38	107	22.43	15
106.029824501	5	2	1	14.24	96	6.35	32
117.034832158	5	2	1	32.05	160	17.84	40
132.040560973	5	1	1	16.07	39	19.05	65
145.044689483	5	1	1	19.35	18	37.88	45
160.049626858	5	1	1	26.63	5	30.69	35
171.053770561	5	1	1	10.02	171	0.85	4
184.059490561	5	1	1	29.32	61	33.53	151
197.065496063	5	1	1	33.1	59	17.66	26
218.068370314	5	1	0	32.95	151	22.44	69
231.074257275	5	2	0	22.79	12	39.13	34
242.079978851	5	1	0	16.81	106	13.44	32
253.083343353	5	1	0	9.65	40	6.68	6
268.089098887	5	1	0	21.4	122	20.68	82
279.09454626	5	1	0	31.39	77	22.77	66
294.099807608	5	2	0	13.46	49	29.94	67
309.104214546	5	2	0	15.53	132	31.03	161
324.109825362	5	1	0	29.3	94	7.07	9
335.114744115	5	2	0	27.93	46	34.97	72
350.123048497	5	2	0	13.24	100	12.91	27
363.127740272	5	1	0	19.09	115	14.83	13
374.131533771	5	2	0	13.06	99	32.19	124
387.133284661	5	2	0	8.55	83	7.89	21
400.135703296	5	1	0	33.55	173	11.64	83
