onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.009458513	5	1	1	14.71	43	16.93	114
30.012661656	5	1	1	20.42	164	14.1	140
45.015351755	5	1	1	36.27	166	28.05	158
56.019834455	5	2	1	8.55	83	7.89	21
67.023333864	5	1	1	21.6	104	22.31	157
82.026518562	5	2	1	13.46	49	29.94	67
95.029223346	5	2	1	14.48	126	5.58	59
108.032449815	5	2	1	15.47	113	3.16	111
121.039063734	5	1	1	18.44	75	26.01	119
136.043664637	5	1	1	18.09	23	22.45	108
151.050810879	5	2	1	13.06	99	32.19	124
164.054222752	5	2	1	13.6	150	5.94	9
175.060437287	5	1	1	7.43	8	32.33	57
186.064081812	5	2	1	22.29	159	7.96	48
197.06949741	5	1	1	32.97	98	36.96	175
218.076963188	5	1	0	37.46	180	18.84	143
233.081614056	5	1	0	32.05	160	17.84	40
248.086428326	5	2	0	14.75	26	22.89	62
263.09209479	5	1	0	27.52	84	17.64	1
274.095803336	5	1	0	15.37	119	0.3	10
287.100147129	5	2	0	9.52	68	24.78	162
302.104994893	5	1	0	39.11	96	28.19	6
317.108519661	5	2	0	5.44	19	25.99	171
328.113355681	5	1	0	32.26	68	30.22	37
339.117468485	5	2	0	32.97	98	36.96	175
352.121247763	5	2	0	34.16	33	37.51	74
363.123527986	5	1	0	13.6	150	5.94	9
374.128630162	5	2	0	7.83	33	30.92	146
387.130334221	5	1	0	36.27	166	28.05	158
400.135839156	5	1	0	34.21	113	25.02	61
