onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.009350051	5	1	1	35.71	87	37.92	171
30.013330385	5	2	1	39.11	96	28.19	6
41.019452607	5	2	1	35.93	117	27.97	54
54.021168719	5	2	1	11	159	10.84	69
67.02430575	5	1	1	26.37	34	38.03	53
78.029781505	5	2	1	2.65	62	14.25	113
93.032306114	5	1	1	15.37	119	0.3	10
104.036566259	5	2	1	29.26	112	23.76	24
119.040308161	5	2	1	3.62	134	26.28	175
134.043992331	5	2	1	13.57	74	24.49	88
145.046753377	5	1	1	15.49	41	31.66	102
158.049934382	5	2	1	24.98	45	20.4	21
171.054357989	5	1	1	20.93	59	26.73	94
182.060847582	5	1	1	34.16	33	37.51	74
197.064267974	5	2	1	36.06	180	16.07	94
218.069685092	5	1	0	26.64	137	19.66	62
233.073282031	5	2	0	19.35	18	37.88	45
248.07704708	5	2	0	18.09	23	22.45	108
261.082628349	5	1	0	10.02	171	0.85	4
274.085976279	5	1	0	24.98	45	20.4	21
285.090627485	5	1	0	29.19	177	18.41	86
298.094539283	5	2	0	18.44	75	26.01	119
309.099924367	5	1	0	28.72	38	20.43	17
322.103798454	5	1	0	28.36	149	15.44	39
337.107854451	5	1	0	8.26	54	4.26	38
348.113566637	5	1	0	33.1	59	17.66	26
361.11719854	5	1	0	18.09	164	2.14	92
376.120686499	5	1	0	21.2	142	1.89	56
387.124960761	5	2	0	2.03	10	3.76	68
402.131431835	5	1	0	30.09	178	7.48	49
