onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005687435	5	2	0	4.73	50	38.24	117
32.010345986	5	2	0	26.63	5	30.69	35
45.014191473	5	2	0	34.66	58	37.53	129
60.018176189	5	1	0	26.23	161	18.44	75
71.022762065	5	1	0	36.39	96	30.71	38
82.026870997	5	2	0	4.1	52	29.78	171
95.031007119	5	1	0	36.86	120	34.19	78
106.033532179	5	2	0	5.82	3	18.32	136
121.037068056	5	1	0	20.42	164	14.1	140
134.041410721	5	2	0	6.83	47	18.46	56
147.045300133	5	2	0	10.88	27	36.88	119
158.048586787	5	1	0	7.67	113	0.61	20
173.053395238	5	1	0	20.72	148	10.86	88
186.058118827	5	2	0	2.65	62	14.25	113
197.06306737	5	2	0	25.53	29	37.47	146
218.071407131	5	1	1	9.65	40	6.68	6
229.074611718	5	2	1	30.16	8	39.22	14
240.077071648	5	2	1	32.95	151	22.44	69
255.0815196	5	1	1	25.36	27	35.66	65
266.087852665	5	1	1	34.66	58	37.53	129
279.093562439	5	1	1	10.88	27	36.88	119
292.0978333	5	2	1	33.31	127	19.72	81
305.101901164	5	1	1	9.57	2	14.91	136
316.10702798	5	2	1	15.53	132	31.03	161
327.110605481	5	2	1	36.86	120	34.19	78
342.117019509	5	1	1	1.09	2	6.63	142
357.121683133	5	1	1	21.67	44	27.59	107
370.124338872	5	1	1	6.83	47	18.46	56
385.12912916	5	2	1	9.98	106	7.6	17
400.13341266	5	2	1	34.21	113	25.02	61
