onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.004898366	5	2	1	14.51	19	17.45	23
32.009575128	5	1	1	23.85	163	17	117
45.015022304	5	2	1	27.88	173	26.06	11
60.019190195	5	2	1	22.67	104	23.15	126
73.023872983	5	2	1	6.16	17	34.02	93
84.026588452	5	1	1	29.82	37	30.86	171
97.028346611	5	1	1	38.12	133	23.33	0
110.032002561	5	2	1	0.19	85	22.22	127
121.033036294	5	1	1	6.97	37	7.13	115
136.037270072	5	2	1	11.24	53	35.56	116
151.041323746	5	1	1	32.43	164	11.47	67
164.04765567	5	1	1	33.25	160	27.6	138
175.04907588	5	1	1	27.41	157	8.47	69
186.055231928	5	1	1	27.34	35	27.58	161
197.059126454	5	2	1	25.89	34	27.24	174
218.066475769	5	1	0	25.2	46	0.56	42
233.072219373	5	2	0	8.6	83	12.55	158
248.077116017	5	2	0	13.87	32	16.69	64
263.081281393	5	2	0	23.99	148	28.56	170
274.08357141	5	2	0	4.86	20	16.28	121
287.091226654	5	1	0	32.43	164	11.47	67
298.096758473	5	1	0	37.1	138	35.44	19
313.100032281	5	1	0	27.34	35	27.58	161
324.104925263	5	2	0	17.09	62	38.18	153
339.107709319	5	2	0	10.13	51	18.2	91
352.111780071	5	1	0	30.32	43	25.59	21
365.114173863	5	1	0	26.43	119	24.3	118
376.119481479	5	2	0	25.89	34	27.24	174
389.124162795	5	2	0	7.78	26	16.41	96
400.127159123	5	2	0	5.47	72	16.55	113
