onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006890381	5	2	1	25.81	22	29.81	68
28.01064776	5	1	1	22.09	149	3.29	9
39.015168781	5	1	1	25.66	103	16.14	60
52.019653087	5	1	1	27.3	75	26.05	14
65.023571557	5	2	1	20.11	30	31.14	92
76.030636356	5	2	1	1.1	125	15.48	145
89.038121105	5	2	1	35.89	12	37.92	138
104.04408972	5	2	1	8.78	45	12.24	160
117.05113064	5	1	1	6.12	82	3.95	57
130.055284519	5	2	1	8.29	98	14.5	178
145.059300126	5	1	1	15.72	180	11.24	157
156.062301923	5	2	1	10.34	77	16.68	125
171.067229365	5	1	1	8.92	68	5.3	43
186.069250928	5	2	1	8.97	114	16.99	116
201.073437507	5	1	1	37.19	155	12.67	8
218.077595195	5	2	0	6.16	17	34.02	93
229.081371067	5	2	0	26.57	27	31.94	96
244.084716377	5	2	0	18.53	82	23.15	146
259.089800212	5	2	0	28.61	74	32.69	156
272.09336135	5	2	0	4.1	112	12.06	138
283.097039093	5	2	0	24.67	70	39.23	119
298.102823042	5	1	0	21.5	12	22.64	172
311.1075114	5	2	0	0.19	85	22.22	127
322.112592927	5	2	0	13.04	69	16.08	160
333.117995257	5	1	0	23.85	163	17	117
348.12534435	5	2	0	8.78	45	12.24	160
363.132425074	5	2	0	19.53	95	17.33	35
376.138873033	5	1	0	21.65	65	12.02	59
389.146057566	5	1	0	24.11	91	5.61	89
400.149813402	5	2	0	0.26	125	9.42	173
