onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.00794983	5	1	0	37.72	129	30.66	90
28.012957427	5	2	0	25.81	22	29.81	68
43.01742819	5	1	0	26.46	158	22.16	74
56.01997403	5	1	0	26.68	96	17.12	63
69.02484307	5	1	0	38.12	133	23.33	0
80.029589326	5	2	0	15.69	1	33.01	22
93.03301664	5	2	0	10.4	31	16.19	97
108.038545206	5	1	0	39.67	176	37.4	6
119.042321238	5	2	0	11.24	53	35.56	116
130.046472091	5	1	0	9.98	162	0.85	19
145.052172492	5	1	0	17.3	9	17.71	73
160.057329858	5	1	0	33.25	160	27.6	138
173.061442487	5	1	0	29.82	37	30.86	171
186.064371967	5	1	0	16.42	180	4.69	147
197.069149916	5	1	0	35.79	170	15.84	37
218.074647065	5	2	1	7.59	28	32.03	155
233.078592113	5	1	1	9.4	51	9.7	120
246.081418567	5	2	1	36.72	55	36.5	5
257.08714606	5	1	1	33.82	178	21.48	135
268.090313635	5	2	1	2.61	116	16.52	124
281.093846704	5	2	1	23.09	52	33.54	124
294.09626641	5	2	1	7.78	26	16.41	96
305.102648102	5	2	1	28.62	107	31.42	170
318.107305045	5	2	1	32.46	136	34.7	163
331.111688256	5	2	1	20.45	6	21.25	97
342.116129304	5	1	1	25.08	30	17.04	8
357.118955428	5	1	1	16.42	180	4.69	147
372.121593225	5	2	1	17.04	41	23.87	149
383.125035755	5	2	1	23.99	148	28.56	170
398.129287897	5	1	1	20.13	62	20.47	148
