onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.007951528	5	2	0	37.86	115	33.51	55
30.01232671	5	1	0	32.19	146	19.09	31
45.015122121	5	2	0	6.3	30	19.86	72
60.018437029	5	1	0	37.55	80	3.27	73
71.021575576	5	2	0	38.58	170	34.53	71
82.026251429	5	1	0	34.95	36	34.5	23
95.030625586	5	1	0	15.86	56	3.96	38
108.033024899	5	2	0	5.32	142	9.17	158
123.037150195	5	1	0	31.32	129	9.69	112
138.043021699	5	2	0	10.96	109	22.38	123
153.047948215	5	2	0	10.83	134	10.64	11
166.052455855	5	1	0	31.83	44	25.57	4
177.057636519	5	1	0	13.47	146	0.21	72
188.060824312	5	2	0	38.52	74	37.87	34
201.065906489	5	1	0	5.66	39	5.86	165
218.074155364	5	1	1	15.98	10	13.13	1
231.079131521	5	2	1	14.41	162	12	26
244.083453989	5	2	1	18.79	140	14.22	113
259.088984434	5	1	1	34.95	36	34.5	23
272.094317022	5	1	1	29.34	162	4.8	75
283.098676765	5	2	1	10.27	144	17.21	152
298.103166094	5	1	1	38.99	27	4.14	22
313.108313876	5	2	1	19.68	133	14.52	25
328.111900336	5	1	1	17.98	55	37.61	112
341.116351605	5	1	1	5.66	39	5.86	165
352.119848864	5	2	1	11.01	143	17.27	170
363.125347928	5	2	1	6.87	42	32.36	175
374.129661551	5	1	1	21.83	133	4.56	40
389.135797173	5	2	1	7.22	66	28.27	117
402.139520411	5	1	1	29.9	174	8.5	86
