onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.006704845	5	1	1	34.72	66	39.45	129
32.011537916	5	1	1	24.09	8	14.88	6
47.015397648	5	1	1	6.03	87	15.3	161
60.017199889	5	2	1	1.07	47	9.37	140
73.020886552	5	2	1	18.84	44	12.92	15
88.02579844	5	2	1	26.95	49	26.7	7
99.028548932	5	1	1	4.39	14	26.56	121
110.031918731	5	2	1	21.91	135	17.49	57
123.037238513	5	1	1	37.93	20	38.96	50
136.040735082	5	1	1	30.08	55	5.57	43
147.044724984	5	2	1	1.82	161	2.29	165
158.049197722	5	1	1	10.88	10	17.73	39
173.053129426	5	1	1	4.46	65	28.9	169
184.058052858	5	1	1	2.45	37	20.47	137
197.061444216	5	1	1	22.01	0	29.02	162
218.069465598	5	1	0	38.99	27	4.14	22
233.073924204	5	2	0	9.85	78	35.78	125
244.079092966	5	2	0	7.56	84	24.96	126
259.082441391	5	1	0	19.09	115	10.82	109
274.087176728	5	1	0	35.12	11	39.39	149
289.090041233	5	1	0	32.66	151	9.63	33
302.094410907	5	1	0	26.87	145	13.87	118
315.097842503	5	2	0	19.68	133	14.52	25
326.106048296	5	1	0	18.79	140	14.22	113
341.110853331	5	1	0	17.78	145	17.9	173
352.114839974	5	2	0	19.26	86	37.48	179
363.120246151	5	2	0	9.35	127	16.15	146
376.123113015	5	2	0	11.46	11	35.06	149
387.126824756	5	2	0	12.93	82	20.84	108
400.131929274	5	2	0	6.97	3	10.59	40
